name,stream_url,homepage,country,language,tags,codec,bitrate
2NVR - Nambucca Valley Radio - Nambucca Heads - 105.9 FM (MP3),http://s14.myradiostream.com/19092/listen.mp3,https://2nvr.org.au/,Australia,english,"community radio,local,oldies",MP3,128
2QN - Deniliquin - 1521 AM,http://worldradio.online/proxy/?q=http://wz2liw.scahw.com.au/live/2qn_128.stream/playlist.m3u8,https://2qn.com.au/,Australia,english,"adult contemporary,classical,commercial,news,talk",UNKNOWN,0
2QN - Deniliquin - 1521 AM,http://wz2liw.scahw.com.au/live/2qn_128.stream/playlist.m3u8,https://2qn.com.au/,Australia,english,"adult contemporary,classic hits,news,talk",AAC,130
2RRR - Ryde - 88.5 FM (AAC),http://playerservices.streamtheworld.com/api/livestream-redirect/2rrrAAC.aac,https://www.2rrr.org.au/,Australia,english,community radio,AAC+,128
2RRR - Ryde - 88.5 FM (MP3),http://playerservices.streamtheworld.com/api/livestream-redirect/2rrr.mp3,https://www.2rrr.org.au/,Australia,english,community radio,MP3,128
2RRR Ryde,https://playerservices.streamtheworld.com/api/livestream-redirect/2rrrAAC.aac,https://www.2rrr.org.au/,Australia,,,AAC+,128
2SEA - Eden - 104.7 FM (AAC),http://playerservices.streamtheworld.com/api/livestream-redirect/2SEA_EDENAAC.aac,https://www.2sea.com.au/,Australia,english,"community radio,music,news,talk",AAC+,128
2SEA - Eden - 104.7 FM (MP3),http://playerservices.streamtheworld.com/api/livestream-redirect/2SEA_EDEN.mp3,https://www.2sea.com.au/,Australia,english,"community radio,music,news,talk",MP3,128
2SER 107.3 FM,http://138.25.219.25:840/2ser128.MP3,https://2ser.com/,Australia,english,"alternative,college radio,community,country,dance,eclectic,educational,non profit",MP3,128
2SM SRN Sydney,https://cast4.asurahosting.com/proxy/2sm1269/stream,https://2sm.com.au/,Australia,english,"news talk,sport,talkback",AAC+,64
2SSR - Sutherland - 99.7 FM (MP3),http://radio12.shoutcast.net.au:2020/stream/8000,https://www.2ssr.com.au/,Australia,english,"community radio,music",AAC+,64
2SSR-FM,https://radio12.shoutcast.net.au:8000/stream,https://www.2ssr.com.au/,Australia,,,AAC+,64
2ST - Nowra - 91.7 FM (AAC),http://playerservices.streamtheworld.com/api/livestream-redirect/NOW_2STAAC.aac,https://www.2st.com.au/,Australia,english,adult contemporary,AAC+,64
